Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Total_Purchases,Average_Spend,Family_Size,Age,Engagement,Spending_Ratio
2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,7,15.25,1,30,0.28,0.01626449806692441
Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,4,11.0,2,58,0.043010752688172046,0.0013180282297682666
PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,19,65.95,3,72,0.475,0.018180314537359927
Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,16,29.823529411764707,2,69,0.5333333333333333,0.0077419945943469695
Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,28,58.37931034482759,1,62,9.333333333333334,0.021391387849994947
Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,5,12.0,2,49,0.09090909090909091,0.0020116789136933864
Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,20,77.0,1,49,0.36363636363636365,0.019580301030478427
Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,16,35.64705882352941,3,48,0.27586206896551724,0.009130081055835116
Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,26,72.48148148148148,1,71,0.4642857142857143,0.023754324209504157
Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,20,52.04761904761905,1,60,0.6451612903225806,0.015550307307079445
Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,5,4.833333333333333,2,38,0.15625,0.0010379755896775117
PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,16,30.470588235294116,2,58,0.25,0.009257439013492985
Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,20,68.47619047619048,1,44,1.5384615384615385,0.018976483939929796
Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,18,32.21052631578947,3,51,0.9473684210526315,0.009181744531460978
Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,20,42.095238095238095,2,74,0.7407407407407407,0.014298654244306418
PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,18,31.894736842105264,2,75,2.0,0.00895376841358727
Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,15,67.25,1,78,0.5,0.015226343271965698
Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,4,6.8,2,55,0.05263157894736842,0.0013218256745198662
Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,3,2.75,3,59,3.0,0.0003387220939183988
2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,31,39.8125,2,47,1.55,0.014445263336923862
Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,17,36.27777777777778,2,68,3.4,0.009450482654818588
Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,12,120.15384615384616,4,56,0.13186813186813187,0.020867009551800146
Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,18,65.94736842105263,1,72,9.0,0.01870372581800812
Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,26,31.962962962962962,2,67,0.8666666666666667,0.013270389961864928
PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,19,33.05,3,51,0.21348314606741572,0.010901834015041563
Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,7,8.125,1,74,0.11864406779661017,0.0022941446369957293
Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,3,3.25,2,49,0.043478260869565216,0.000323005441399359
Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,18,99.47368421052632,1,54,0.5142857142857142,0.0251156115452081
Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,22,96.04347826086956,1,50,0.5365853658536586,0.02913248753725635
2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,3,4.5,1,50,0.23076923076923078,0.0006837087400767273
Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,19,34.6,1,61,1.9,0.01234678038075187
Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,8,18.333333333333332,2,41,0.09090909090909091,0.005544168542723699
Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,3,4.0,2,57,0.5,0.0006082493822467212
2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,6,11.285714285714286,2,53,0.06818181818181818,0.0033531409168081495
Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,10,28.90909090909091,1,63,0.17543859649122806,0.008233862406462806
Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,26,28.814814814814813,1,39,1.368421052631579,0.009562203485656695
Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,5,9.333333333333334,3,66,0.052083333333333336,0.0019021093033524676
Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,8,16.77777777777778,3,56,0.16326530612244897,0.004178311519411162
Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,13,26.571428571428573,2,69,3.25,0.007382563654765921
Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,18,71.89473684210526,1,53,0.2535211267605634,0.017162097645551173
Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,9,19.4,2,59,0.1125,0.0035807231584193138
Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,4,6.4,2,54,0.05714285714285714,0.0007548059912725557
PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,7,5.375,2,56,0.08235294117647059,0.0018199517501163922
Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,5,7.5,2,43,0.16129032258064516,0.001495165631126026
Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,17,33.666666666666664,2,66,0.2328767123287671,0.012646868543523175
Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,5,10.5,3,54,0.13157894736842105,0.001215887597946501
2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,24,39.12,1,75,0.5333333333333333,0.012458916150729955
PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,14,27.333333333333332,1,43,0.42424242424242425,0.008175310562102451
2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,5,12.0,2,66,5.0,0.0015055202408832385
PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,5,9.166666666666666,2,67,0.11363636363636363,0.0015916654608594994
Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,25,44.96153846153846,2,47,0.4166666666666667,0.013641561836301257
PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,15,70.0,1,81,0.21739130434782608,0.017009127219159568
Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,19,54.85,1,67,0.5277777777777778,0.01258085233267581
Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,4,5.8,2,47,0.042105263157894736,0.0011791014433828013
Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,9,18.7,3,62,0.5625,0.0038087866875776526
Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,22,39.56521739130435,3,57,0.38596491228070173,0.017361773571946428
Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,7,18.125,2,48,0.3888888888888889,0.003760568494216505
Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,13,60.714285714285715,1,66,0.6842105263157895,0.009544234720803063
Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,23,40.375,2,47,0.48936170212765956,0.012535737849131295
PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,16,107.05882352941177,1,35,0.3902439024390244,0.026714812042215274
Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,17,33.77777777777778,2,63,0.6071428571428571,0.010612857616645429
Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,24,29.2,1,35,0.25,0.008484623073525651
PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,16,32.411764705882355,2,46,0.8,0.01252984650369528
Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,6,16.285714285714285,3,64,0.21428571428571427,0.0022447131099121807
Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,15,107.75,1,56,0.5769230769230769,0.01899389639292246
2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,15,36.0625,2,48,0.2,0.015786161801318706
2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,5,13.5,3,59,0.05813953488372093,0.0026338037328477596
Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,5,5.5,2,57,0.13157894736842105,0.001505543136091975
Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,18,34.73684210526316,2,73,0.2727272727272727,0.011758417958311064
Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,6,11.428571428571429,2,59,0.42857142857142855,0.0024571533878002334
Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,4,6.0,3,41,0.0625,0.0015375941776433807
Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,4,8.6,2,50,0.047619047619047616,0.001387410060336205
Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,27,40.535714285714285,1,43,0.38571428571428573,0.011130615567171058
2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,14,37.266666666666666,1,61,0.1590909090909091,0.007819384800458812
Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,15,120.1875,1,42,0.39473684210526316,0.024155863732288212
Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,6,12.857142857142858,3,73,0.11538461538461539,0.0016559642311726067
PhD,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,19,33.05,3,70,0.2602739726027397,0.008542590175375111
Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,14,30.866666666666667,2,74,1.2727272727272727,0.007349323005127066
Master,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,18,33.26315789473684,3,68,0.4186046511627907,0.010304571838518229
Graduation,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,18,38.1578947368421,1,57,1.6363636363636365,0.009870794701085107
PhD,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,11,23.25,3,62,0.21153846153846154,0.00671447824412784
PhD,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,22,64.43478260869566,1,59,1.0,0.023530532533104696
Basic,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,4,5.8,2,50,0.125,0.003036967221698607
PhD,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,6,15.142857142857142,4,67,0.0967741935483871,0.0031395314397417292
PhD,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,4,9.8,3,53,0.10526315789473684,0.0013663868826859261
PhD,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,5,6.333333333333333,3,61,0.06666666666666667,0.0010291966849033096
Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,21,94.4090909090909,1,34,0.44680851063829785,0.02236700409218178
Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,15,65.8125,2,50,3.0,0.016173872974425928
Graduation,Married,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,22,60.21739130434783,1,64,0.2972972972972973,0.016083704942400596
PhD,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,22,37.869565217391305,2,52,0.4583333333333333,0.012742674059660878
Graduation,Together,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,9,31.2,2,38,0.6428571428571429,0.0074491452583325376
Graduation,Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,12,67.46153846153847,3,50,0.32432432432432434,0.014663099816084267
Graduation,Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,5,11.333333333333334,2,51,0.10416666666666667,0.002838300358961516
Graduation,Together,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,3,5.5,2,45,0.06,0.0005707170281207844
2n Cycle,Married,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,9,21.1,4,53,0.09473684210526316,0.005912185827565916
Master,Married,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,7,15.875,1,60,0.10606060606060606,0.0025601741724791357
Master,Married,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,15,28.6875,3,73,0.25,0.007733131159969674
Graduation,Married,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,460,15,28.75,2,57,0.15463917525773196,0.006996410537202653
2n Cycle,Together,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,13,30.642857142857142,2,54,0.4482758620689655,0.009256661991584854
Graduation,Single,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,7,11.125,2,38,0.5384615384615384,0.002604090470199257
PhD,Together,61010.0,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,24,40.84,2,74,0.41379310344827586,0.016734687187556344
